rnn_type,n_layers,hidden_dim,epoch,val_bleu,val_accuracy,test_bleu,test_accuracy
lstm,2,256,1,0.254,0.0,0.261,0.0
lstm,2,256,2,0.216,0.0,0.241,0.0
lstm,2,256,3,0.419,0.0,0.433,0.0
lstm,2,256,4,0.418,0.0,0.433,0.0
lstm,2,256,5,0.419,0.0,0.432,0.0
lstm,2,256,6,0.413,0.0,0.426,0.0
lstm,4,256,1,0.272,0.0,0.28,0.0
lstm,4,256,2,0.371,0.0,0.391,0.0
lstm,4,256,3,0.42,0.0,0.433,0.0
lstm,4,256,4,0.375,0.0,0.399,0.0
lstm,4,256,5,0.374,0.0,0.397,0.0
lstm,4,256,6,0.199,0.0,0.212,0.0
lstm,6,256,1,0.255,0.0,0.262,0.0
lstm,6,256,2,0.418,0.0,0.432,0.0
lstm,6,256,3,0.438,0.0,0.451,0.0
lstm,6,256,4,0.419,0.0,0.433,0.0
lstm,6,256,5,0.216,0.0,0.222,0.0
lstm,6,256,6,0.216,0.0,0.222,0.0
lstm,8,256,1,0.254,0.0,0.261,0.0
lstm,8,256,2,0.44,0.0,0.45,0.0
lstm,8,256,3,0.438,0.0,0.451,0.0
lstm,8,256,4,0.438,0.0,0.451,0.0
lstm,8,256,5,0.419,0.0,0.433,0.0
lstm,8,256,6,0.419,0.0,0.433,0.0
lstm,2,512,1,0.42,0.0,0.433,0.0
lstm,2,512,2,0.438,0.0,0.453,0.0
lstm,2,512,3,0.355,0.0,0.379,0.0
lstm,2,512,4,0.375,0.0,0.397,0.0
lstm,2,512,5,0.39,0.0,0.408,0.0
lstm,2,512,6,0.379,0.0,0.406,0.0
lstm,4,512,1,0.419,0.0,0.433,0.0
lstm,4,512,2,0.371,0.0,0.396,0.0
lstm,4,512,3,0.419,0.0,0.433,0.0
lstm,4,512,4,0.439,0.0,0.452,0.0
lstm,4,512,5,0.438,0.0,0.451,0.0
lstm,4,512,6,0.439,0.0,0.452,0.0
lstm,6,512,1,0.254,0.0,0.261,0.0
lstm,6,512,2,0.439,0.0,0.453,0.0
lstm,6,512,3,0.439,0.0,0.452,0.0
lstm,6,512,4,0.438,0.0,0.452,0.0
lstm,6,512,5,0.439,0.0,0.453,0.0
lstm,6,512,6,0.439,0.0,0.452,0.0
lstm,8,512,1,0.439,0.0,0.453,0.0
lstm,8,512,2,0.419,0.0,0.433,0.0
lstm,8,512,3,0.419,0.0,0.433,0.0
lstm,8,512,4,0.439,0.0,0.452,0.0
lstm,8,512,5,0.419,0.0,0.432,0.001
lstm,8,512,6,0.439,0.0,0.452,0.0
lstm,2,1024,1,0.419,0.0,0.433,0.0
lstm,2,1024,2,0.419,0.0,0.431,0.0
lstm,2,1024,3,0.438,0.0,0.451,0.0
lstm,2,1024,4,0.439,0.0,0.452,0.0
lstm,2,1024,5,0.439,0.0,0.453,0.0
lstm,2,1024,6,0.419,0.0,0.432,0.0
lstm,4,1024,1,0.439,0.0,0.453,0.0
lstm,4,1024,2,0.419,0.0,0.432,0.0
lstm,4,1024,3,0.419,0.0,0.433,0.0
lstm,4,1024,4,0.438,0.0,0.451,0.0
lstm,4,1024,5,0.439,0.0,0.452,0.0
lstm,4,1024,6,0.419,0.001,0.433,0.0
