tokenizer_type,vocab_size,rnn_type,optimizer,bidirectional,hidden_dim,n_layers,embedding_dim,dropout,learning_rate,epoch,val_bleu,examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,25,0.569,{'3x^2 - y^3 = C': 'C C { { { { } } } } } } } } } } } } } } } } } } } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,24,0.565,{'3x^2 - y^3 = C': 'C _ { 1 } } e { } } { } { } } { } { } } { } } { } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,23,0.564,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { { x } + C _ { 2 } e ^ { { x } } C ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,23,0.562,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - x } + C _ { 2 } e ^ { - x x } + ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,25,0.561,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - x x } + C _ { 2 } e ^ { - x x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,21,0.559,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - x x } + C _ { 2 } e ^ { - x x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,22,0.557,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - x x } + C _ { 2 } e ^ { - x x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,21,0.557,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - x x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,19,0.555,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,22,0.554,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,1,0,0,0.01,24,0.553,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,1,0,0,0.01,25,0.553,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,24,0.553,{'3x^2 - y^3 = C': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,20,0.553,{'3x^2 - y^3 = C': 'y = \\ \\ r r a { 1 } { 2 } } { 2 } } \\ \\ r r { t \\ ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,1,0,0,0.01,23,0.551,{'3x^2 - y^3 = C': 'y = \\ \\ r r a { 1 } { 2 } } { 2 } } \\ \\ r r a { 1 ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,19,0.549,{'3x^2 - y^3 = C': 'y = \\ \\ r r a { 1 } { 2 } } { 2 } } \\ \\ r r a { 1 ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,1,0,0,0.01,18,0.548,{'3x^2 - y^3 = C': 'y = x ^ { 2 } + C _ { 2 } + C _ { 2 } + C _ { 3 } ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,18,0.547,{'3x^2 - y^3 = C': 'y = \\ ,,, 'x^{2}y+{\x0crac{1}{y}}=C': 'y = \\ , r a { 1 } { 2 } } { 2 } } \\ ," \\ r r a { 1 '}"";4.879885613918304;0.5302075644334158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0.25,0.001,20,0.547,{'3x^2 - y^3 = C': 'y = \\ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,0,0,0.001,18,0.547,{'3x^2 - y^3 = C': 'y = \\ ,,, '{\\sqrt{{1+x^{2}+y^{2}}}}+\x07rctan{\x0crac{x}{y}}=C': 'y = \\ , \\ r a c { 1 } { 2 } } { 2 } } \\ , \\ , \\ r ', 'x^{2}y+{\x0crac{1}{y}}=C': 'y = \\ , \\ r a c { 1 } { 2 } } { 2 } } \\ , \\ ," \\ r '}"";4.8969815373420715;0.5078749169905981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,4,128,0.25,0.001,25,0.546,{'3x^2 - y^3 = C': 'y = \\ f r a c { 1 } { 2 } } { 2 } } \\ ,,,x^{3}-2}}}{\\sqrt{3}}}': 'y = C _ { 2 } + C _ { 2 } + C _ { 3 } ', 'y(x)=c_{1}\\;e^{-(5x)/2}+c_{2}\\;e^{x}-2': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ', 'y(x)=c_{1}\\;e^{-2x}+c_{2}\\;e^{4x}-{\x0crac{x^{2}}{8}}+{\x0crac{x}{16}}-{\x0crac{27}{64}}': 'y = C _ { 1 } + C _ { 2 } + C _ { 3 } ', '{\\sqrt{{1+x^{2}+y^{2}}}}+\x07rctan{\x0crac{x}{y}}=C': 'y = \\ f r a c { 1 } { 2 } } { 2 } } \\ , \\ , \\ , \\ ', 'x^{2}y+{\x0crac{1}{y}}=C': 'y = \\ , \\ r a c { 1 } { 2 } } { 2 } } \\ , \\ , \\ ," '}"";5.1099172830581665;0.49754339357217153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
character_wise,76,gru,Adam,True,256,1,0,0,0.01,17,0.545,{'3x^2 - y^3 = C': 'y = \\ ,,, \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ ', '(x-1)^{4/3}+y^{4/3}=C': 'y = C _ { 2 } + C _ { 2 } + C _ { 3 } ', '4y=(x+C)^{2}': 'y = C _ { 2 } + C _ { 2 } + C _ { 3 } ', 'y(x)=-{\\sqrt{x}}\\;{\\sqrt{c_{1}+2x^{2}}}': 'y = C _ { 2 } + C _ { 2 } + C _ { 2 } ', 'y(x)={\x0crac{\\sqrt{x}\\;{\\sqrt{c_{1}\\,x^{3}-2}}}{\\sqrt{3}}}': 'y = C _ { 2 } + C _ { 2 } + C _ { 2 } ', 'y(x)=c_{1}\\;e^{-(5x)/2}+c_{2}\\;e^{x}-2': 'C _ { 1 } e ^ { - 1 x } + C _ { 2 } e ^ { - 1 x } ', 'y(x)=c_{1}\\;e^{-2x}+c_{2}\\;e^{4x}-{\x0crac{x^{2}}{8}}+{\x0crac{x}{16}}-{\x0crac{27}{64}}': 'y = C _ { 1 } + C _ { 2 } + C _ { 3 } e ^ { - 1 x ', '{\\sqrt{{1+x^{2}+y^{2}}}}+\x07rctan{\x0crac{x}{y}}=C': 'y = \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ ', 'x^{2}y+{\x0crac{1}{y}}=C': 'y = \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ , \\ ," \\ '}"";6.111384153366089;0.4896458700299263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
